Company Name,Industry,Symbol,Series,ISIN Code
Adani Enterprises Ltd.,Metals & Mining,NSE:ADANIENT,EQ,INE423A01024
Adani Ports and Special Economic Zone Ltd.,Services,NSE:ADANIPORTS,EQ,INE742F01042
Apollo Hospitals Enterprise Ltd.,Healthcare,NSE:APOLLOHOSP,EQ,INE437A01024
Asian Paints Ltd.,Consumer Durables,NSE:ASIANPAINT,EQ,INE021A01026
Axis Bank Ltd.,Financial Services,NSE:AXISBANK,EQ,INE238A01034
Bajaj Auto Ltd.,Automobile and Auto Components,NSE:BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,Financial Services,NSE:BAJFINANCE,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,NSE:BAJAJFINSV,EQ,INE918I01026
Bharat Electronics Ltd.,Capital Goods,NSE:BEL,EQ,INE263A01024
Bharti Airtel Ltd.,Telecommunication,NSE:BHARTIARTL,EQ,INE397D01024
Cipla Ltd.,Healthcare,NSE:CIPLA,EQ,INE059A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,NSE:COALINDIA,EQ,INE522F01014
Dr. Reddy's Laboratories Ltd.,Healthcare,NSE:DRREDDY,EQ,INE089A01031
Eicher Motors Ltd.,Automobile and Auto Components,NSE:EICHERMOT,EQ,INE066A01021
Grasim Industries Ltd.,Construction Materials,NSE:GRASIM,EQ,INE047A01021
HCL Technologies Ltd.,Information Technology,NSE:HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,Financial Services,NSE:HDFCBANK,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,NSE:HDFCLIFE,EQ,INE795G01014
Hero MotoCorp Ltd.,Automobile and Auto Components,NSE:HEROMOTOCO,EQ,INE158A01026
Hindalco Industries Ltd.,Metals & Mining,NSE:HINDALCO,EQ,INE038A01020
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,NSE:HINDUNILVR,EQ,INE030A01027
ICICI Bank Ltd.,Financial Services,NSE:ICICIBANK,EQ,INE090A01021
ITC Ltd.,Fast Moving Consumer Goods,NSE:ITC,EQ,INE154A01025
IndusInd Bank Ltd.,Financial Services,NSE:INDUSINDBK,EQ,INE095A01012
Infosys Ltd.,Information Technology,NSE:INFY,EQ,INE009A01021
JSW Steel Ltd.,Metals & Mining,NSE:JSWSTEEL,EQ,INE019A01038
Jio Financial Services Ltd.,Financial Services,NSE:JIOFIN,EQ,INE758E01017
Kotak Mahindra Bank Ltd.,Financial Services,NSE:KOTAKBANK,EQ,INE237A01028
Larsen & Toubro Ltd.,Construction,NSE:LT,EQ,INE018A01030
Mahindra & Mahindra Ltd.,Automobile and Auto Components,NSE:M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,NSE:MARUTI,EQ,INE585B01010
NTPC Ltd.,Power,NSE:NTPC,EQ,INE733E01010
Nestle India Ltd.,Fast Moving Consumer Goods,NSE:NESTLEIND,EQ,INE239A01024
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NSE:ONGC,EQ,INE213A01029
Power Grid Corporation of India Ltd.,Power,NSE:POWERGRID,EQ,INE752E01010
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NSE:RELIANCE,EQ,INE002A01018
SBI Life Insurance Company Ltd.,Financial Services,NSE:SBILIFE,EQ,INE123W01016
Shriram Finance Ltd.,Financial Services,NSE:SHRIRAMFIN,EQ,INE721A01047
State Bank of India,Financial Services,NSE:SBIN,EQ,INE062A01020
Sun Pharmaceutical Industries Ltd.,Healthcare,NSE:SUNPHARMA,EQ,INE044A01036
Tata Consultancy Services Ltd.,Information Technology,NSE:TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,NSE:TATACONSUM,EQ,INE192A01025
Tata Motors Ltd.,Automobile and Auto Components,NSE:TATAMOTORS,EQ,INE155A01022
Tata Steel Ltd.,Metals & Mining,NSE:TATASTEEL,EQ,INE081A01020
Tech Mahindra Ltd.,Information Technology,NSE:TECHM,EQ,INE669C01036
Titan Company Ltd.,Consumer Durables,NSE:TITAN,EQ,INE280A01028
Trent Ltd.,Consumer Services,NSE:TRENT,EQ,INE849A01020
UltraTech Cement Ltd.,Construction Materials,NSE:ULTRACEMCO,EQ,INE481G01011
Wipro Ltd.,Information Technology,NSE:WIPRO,EQ,INE075A01022
Zomato Ltd.,Consumer Services,NSE:ZOMATO,EQ,INE758T01015
